Images	Registration Score	Mean ON	Mean OFF	Separation Metric	Num ON	Signal To Noise	Cut Off	Focus Score 1
R04C01_2_Channel2	0	12494.56	1890.979	137515	1135218	1.999996	5644	
R04C01_3_Swath1_Channel1	1.560367	9733.36	1073.848	148357	1622405	2.03675	3616	0.5446015
R04C01_3_Swath1_Channel2	1.560367	12754.6	1930.926	136601	1135768	2.001664	5768	0.491844
R04C01_3_Channel1	0	9733.36	1073.848	148357	1622405	2.03675	3616	
R04C01_3_Channel2	0	12754.6	1930.926	136601	1135768	2.001664	5768	
R04C01_4_Swath1_Channel1	1.558978	9773.793	1045.026	149690	1632616	1.998836	3498	0.542986
R04C01_4_Swath1_Channel2	1.558978	13021.67	1956.03	136376	1125246	2.002794	5883	0.4884265
R04C01_4_Channel1	0	9773.793	1045.026	149690	1632616	1.998836	3498	
R04C01_4_Channel2	0	13021.67	1956.03	136376	1125246	2.002794	5883	
R04C01_5_Swath1_Channel1	1.559228	9905.283	1168.879	154954	1533888	2.046216	4011	0.5411347
R04C01_5_Swath1_Channel2	1.559228	13221.78	1973.725	132735	1089697	2.008276	6071	0.4902723
R04C01_5_Channel1	0	9905.283	1168.879	154954	1533888	2.046216	4011	
R04C01_5_Channel2	0	13221.78	1973.725	132735	1089697	2.008276	6071	
R05C01_1_Swath1_Channel1	1.558006	10495.17	1410.839	157235	1433364	2.12755	4736	0.5457911
R05C01_1_Swath1_Channel2	1.558006	13329.65	1975.398	133514	1098349	2.001844	6025	0.4900697
R05C01_1_Channel1	0	10495.17	1410.839	157235	1433364	2.12755	4736	
R05C01_1_Channel2	0	13329.65	1975.398	133514	1098349	2.001844	6025	
R05C01_2_Swath1_Channel1	1.559884	10537.77	1416.432	157502	1432523	2.12351	4759	0.537749
R05C01_2_Swath1_Channel2	1.559884	13398.09	2000.108	132533	1087045	2.016024	6134	0.4772747
R05C01_2_Channel1	0	10537.77	1416.432	157502	1432523	2.12351	4759	
R05C01_2_Channel2	0	13398.09	2000.108	132533	1087045	2.016024	6134	
R05C01_3_Swath1_Channel1	1.558453	10864.53	1537.733	155048	1378222	2.171074	5161	0.5383508
R05C01_3_Swath1_Channel2	1.558453	13486.7	1990.939	134088	1105553	2.00909	6075	0.4827924
R05C01_3_Channel1	0	10864.53	1537.733	155048	1378222	2.171074	5161	
R05C01_3_Channel2	0	13486.7	1990.939	134088	1105553	2.00909	6075	
R05C01_4_Swath1_Channel1	1.557253	10787.73	1444.834	157262	1417845	2.114734	4868	0.5322661
R05C01_4_Swath1_Channel2	1.557253	13764.61	2022.534	145311	1088867	2.012832	6245	0.4702629
R05C01_4_Channel1	0	10787.73	1444.834	157262	1417845	2.114734	4868	
R05C01_4_Channel2	0	13764.61	2022.534	145311	1088867	2.012832	6245	
R05C01_5_Swath1_Channel1	1.558765	10850.1	1454.026	158680	1417419	2.105868	4907	0.5322454
R05C01_5_Swath1_Channel2	1.558765	14288.38	2068.984	131743	1082547	2.001083	6452	0.4787582
R05C01_5_Channel1	0	10850.1	1454.026	158680	1417419	2.105868	4907	
R05C01_5_Channel2	0	14288.38	2068.984	131743	1082547	2.001083	6452	
R06C01_1_Swath1_Channel1	1.55545	10707.48	1490.02	159196	1380920	2.120158	5001	0.5314392
R06C01_1_Swath1_Channel2	1.55545	13380.3	1948.193	132720	1087425	1.997598	6049	0.4717651
R06C01_1_Channel1	0	10707.48	1490.02	159196	1380920	2.120158	5001	
R06C01_1_Channel2	0	13380.3	1948.193	132720	1087425	1.997598	6049	
R06C01_2_Swath1_Channel1	1.556001	10677.7	1453.665	157489	1406476	2.116755	4889	0.5289495
R06C01_2_Swath1_Channel2	1.556001	13573.91	1989.615	145466	1093195	2.009251	6156	0.4716963
R06C01_2_Channel1	0	10677.7	1453.665	157489	1406476	2.116755	4889	
R06C01_2_Channel2	0	13573.91	1989.615	145466	1093195	2.009251	6156	
R06C01_3_Swath1_Channel1	1.556126	10876.18	1478.02	157854	1413762	2.119959	4979	0.5278559
R06C01_3_Swath1_Channel2	1.556126	13776.6	2013.117	132965	1103960	2.006047	6203	0.4644678
R06C01_3_Channel1	0	10876.18	1478.02	157854	1413762	2.119959	4979	
R06C01_3_Channel2	0	13776.6	2013.117	132965	1103960	2.006047	6203	
R06C01_4_Swath1_Channel1	1.553588	11113.15	1493.072	157993	1408277	2.101696	5015	0.5325388
R06C01_4_Swath1_Channel2	1.553588	14406.09	2098.27	132829	1091918	2.000178	6498	0.4707436
R06C01_4_Channel1	0	11113.15	1493.072	157993	1408277	2.101696	5015	
R06C01_4_Channel2	0	14406.09	2098.27	132829	1091918	2.000178	6498	
R06C01_5_Swath1_Channel1	1.556561	10896.72	1465.291	160295	1413334	2.098428	4941	0.5368843
R06C01_5_Swath1_Channel2	1.556561	14896.92	2141.426	131590	1076011	1.997187	6735	0.474559
R06C01_5_Channel1	0	10896.72	1465.291	160295	1413334	2.098428	4941	
R06C01_5_Channel2	0	14896.92	2141.426	131590	1076011	1.997187	6735	
R07C01_1_Swath1_Channel1	1.561013	10596.73	1199.336	154867	1610396	2.002428	3987	0.5452599
R07C01_1_Swath1_Channel2	1.561013	14565.15	2140.42	132249	1114061	2.016011	6571	0.4827021
R07C01_1_Channel1	0	10596.73	1199.336	154867	1610396	2.002428	3987	
R07C01_1_Channel2	0	14565.15	2140.42	132249	1114061	2.016011	6571	
R07C01_2_Swath1_Channel1	1.559075	10383.03	1230.584	155064	1556429	2.032718	4129	0.5373318
R07C01_2_Swath1_Channel2	1.559075	14128.2	2075.818	132928	1104040	2.002863	6389	0.4795851
R07C01_2_Channel1	0	10383.03	1230.584	155064	1556429	2.032718	4129	
R07C01_2_Channel2	0	14128.2	2075.818	132928	1104040	2.002863	6389	
R07C01_3_Swath1_Channel1	1.56198	10378.44	1142.957	153148	1625175	1.992219	3810	0.5384089
R07C01_3_Swath1_Channel2	1.56198	14430.38	2112.769	131993	1113179	2.014973	6507	0.4811268
R07C01_3_Channel1	0	10378.44	1142.957	153148	1625175	1.992219	3810	
R07C01_3_Channel2	0	14430.38	2112.769	131993	1113179	2.014973	6507	
R07C01_4_Swath1_Channel1	1.561255	10442.44	1203.893	155260	1569125	2.019527	4069	0.5369313
R07C01_4_Swath1_Channel2	1.561255	14651.69	2137.426	143671	1090722	2.015089	6662	0.473534
R07C01_4_Channel1	0	10442.44	1203.893	155260	1569125	2.019527	4069	
